Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Jawara Kebab,Jawara Kebab,F&B,BO,10-18jt,Jl. Nyinden Intan Timur Gg.19 Blok A1 No.3 Surabaya,031-71508555,,,,
Bikemart,Taman Nusantara Motor,Distribusi Spare Parts & Variasi Sepeda Motor,Grosir,n/a,Jl.S Parman No.206 Purwokerto 53141,0281-9288866,,,,
Kids2 Success,PT Bina Bunga Bangsa,Education,Lisensi,400jt,Wisma Slipi Suite 11-01 Jl. Let Jend S Parman Kav 12 Jakarta,021-53661980/53661972,,,,
Brainy Mental Arithmetic,Warna Warni Children Center,PEndidikan,Franchise,20jt,Jl.Colombo 8 Samirano Baru Yogyakarta,0274-561089,,,,
Bebek Kapau,Kapau Jaya dan Bumi Lesehan,Rumah Makan,BO,9jt,Jl. Cimacan No.30 Cipanas Cianjur,0857-93831111,,,,
Jari Hitung Cepat Indonesia,Lembaga Bintang Indonesia,Pendidikan,Franchise,10jt,Jl.Raya Bogor Km 40 983 Cibinong - Bogor,021-87916762/32914197,,,,
Laundry First Cuci Kiloan,Laundry First Cuci Kiloan,Laundry,BO,50jt,Jl.Bendungan Asahan Benhil,021-91655678,,,,
Bandeng Segar Cabut Duri Minahasa,CV Tiara Raya,F&B,BO,15jt,"Jl. Bukit Kelapa Sawit II AH-44 Bukit Kencana Jaya, Semarang",024-70544643,,,,
Aning’s Beauty & Health,PT Mahkota Dewa,Kecantikan dan KEsehatan,BO,5-10jt,Jl.Baharu AA No.1 Nyiur Melambai II Rawa Badak Utara Kodja Jakarta Utara,021-4302762,,,,
Nasi Uduk Gondangdia,PT Jelita Kamil Brother,F&B,Franchise,110jt,Cikini IV No.8A Menteng - Jakarta,021-31935131,,,,
Twisterchips,PT Tata Cipta Mega Pelangi,F&B,Franchise,"28.8-48,8jt",Jl. Pangeran Jayakarta No.85A,021-71398831,,,,
Preztissimo Laundry Lab,Preztissimo Laundry Lab,Jasa Peralatan Pakaian,Franchise,175-280jt,Jl.Perumnas Blok A/6C Seturan,0274-8222252,,,,
ASMIDESANTA,Yayasan Pendidikan Karya,Pendidikan,BO,600jt,Jl.Wates 99 Bayeman Yogyakarta,0274-580603,,,,
Martabak House,Martabak House,Resto/Cafe,BO,150jt,Jl. Seturan (dpn SD Budi Mulya) Sleman Yogyakarta/Jl. Kusuma Wardani No.9-11 Semarang,0274-9237261/024-70117206,,,,
Multiplus – Business Center,Multi Inovasi Cemerlang,Business Center,Franchise,n/a,Jl.Jl. Khai Caringan No.28C Jakarta,021-63853199,,,,
Ayam Bakar Pondok As Salam,CV Duta Mandiri Indonesia,F/B,n/a,15jt,Jl. Anggrek Raya No.20 Bumi Malaka,081310301665,,,,
Bebek Goreng Arisan,Bebek Goreng Arisan,F&B,BO,Rp.30jt,Jl. Slamet Riyadi No.93 Kartasura Solo,0271-5898016,,,,
Red Grill,Pt Choice Plus Indonesia,F&B,Franchise,n/a,Jl. Nuri IV/2 Sambengan Manahan Solo,0271-714160,,,,
Alphanet,PT Alpha Multi Media Teknologi,IT,BO,9-13jt,Jl.Raya Jati Asih No.375 Ranting ATM BCA Pemda Jati Asih,021-92699236,,,,
Alfabank,n/a,Pendidikan,Franchise,75-125jt,Jl.Slamet Riyadi 509 Surakarta,0271-723544,,,,
Build Better Communication (BBC English Training Specialist),PT Pertiwi Resources,Pendidikan,Franchise,225jt,Jl.Sunan Sedayu No.12 Rawamangun Jakarta Timur,021-4753601,,,,
Future Kids,PT BSW Gramedia,Pendidikan,Franchise,150-200jt,Jl.Palmerah Barat 33-37 Jakarta,021-71505656,,,,
